# Mass = 1.4 Msun 
# R_sp = 12.03683363 km 
# M/R = 0.1717457529
# R/M = 5.822560285
#alpha #b/R #psi #dcosalpha/dcospsi #toa*C/R
0.6931975219 0.7886434186 0.8651680648 0.6568664778 0.3574459064 
0.7049555825 0.7997510724 0.8802045029 0.6568948749 0.3693876732 
0.7168324688 0.8108587262 0.895413401 0.6569254519 0.3816353195 
0.7288335864 0.8219663799 0.9108028556 0.6569583903 0.394199278 
0.7409647022 0.8330740337 0.9263815192 0.6569938903 0.4070907204 
0.7532319805 0.8441816875 0.9421586567 0.6570321725 0.4203216106 
0.7656420232 0.8552893413 0.958144208 0.6570734808 0.4339048028 
0.778201915 0.8663969951 0.9743488593 0.6571180855 0.4478541152 
0.7909192756 0.8775046489 0.9907841248 0.6571662867 0.4621844522 
0.8038023189 0.8886123026 1.007462439 0.657218419 0.4769119033 
0.8168599207 0.8997199564 1.024397265 0.6572748555 0.4920539003 
0.8301016968 0.9108276102 1.041603215 0.6573360146 0.5076293527 
0.8435380932 0.921935264 1.059096195 0.6574023661 0.5236588486 
0.8571804914 0.9330429178 1.076893568 0.6574744396 0.5401648492 
0.8710413304 0.9441505716 1.095014352 0.6575528343 0.5571719478 
0.8851342512 0.9552582253 1.113479443 0.6576382305 0.5747071445 
0.8994742662 0.9663658791 1.132311888 0.6577314039 0.5928002071 
0.914077962 0.9774735329 1.151537205 0.6578332431 0.6114840556 
0.9289637414 0.9885811867 1.17118377 0.6579447704 0.6307952702 
0.9441521152 0.9996888405 1.19128328 0.6580671683 0.6507746585 
0.9596660576 1.010796494 1.211871319 0.6582018123 0.6714679887 
0.9755314428 1.021904148 1.232988061 0.6583503124 0.6929268592 
0.9917775848 1.033011802 1.25467913 0.6585145654 0.715209762 
1.008437915 1.044119456 1.276996686 0.6586968229 0.7383834899 
1.02555084 1.055227109 1.30000081 0.6588997797 0.7625248304 
1.043160845 1.066334763 1.323761269 0.6591266905 0.7877227966 
1.061319932 1.077442417 1.348359846 0.6593815271 0.8140815051 
1.080089527 1.088550071 1.373893411 0.6596691923 0.841724021 
1.099543058 1.099657725 1.400478096 0.6599958191 0.8707975193 
1.119769515 1.110765378 1.428255068 0.6603691961 0.9014804269 
1.120917956 1.11138247 1.429836507 0.6603914991 0.9032364045 
1.122069134 1.111999562 1.431422188 0.6604139787 0.9049980555 
1.123223071 1.112616654 1.433012142 0.6604366367 0.9067654232 
1.124379789 1.113233746 1.434606404 0.6604594754 0.9085385495 
1.125539308 1.113850838 1.436205009 0.6604824966 0.9103174784 
1.126701652 1.11446793 1.437807992 0.6605057026 0.9121022543 
1.127866843 1.115085021 1.439415388 0.6605290953 0.9138929227 
