#nu mu I
2.071001e+15 7.290099e-01 6.881100e-01
2.071001e+15 7.332010e-01 6.882480e-01
2.071001e+15 7.373631e-01 6.883840e-01
2.071001e+15 7.414981e-01 6.885190e-01
2.071001e+15 7.456050e-01 6.886530e-01
2.071001e+15 7.496839e-01 6.887850e-01
2.071001e+15 7.537352e-01 6.889160e-01
2.071001e+15 7.577573e-01 6.890460e-01
2.071001e+15 7.617502e-01 6.891740e-01
2.071001e+15 7.657150e-01 6.893010e-01
2.071001e+15 7.696510e-01 6.894270e-01
2.071001e+15 7.735579e-01 6.895510e-01
2.071001e+15 7.774350e-01 6.896740e-01
2.071001e+15 7.812840e-01 6.897960e-01
2.071001e+15 7.851029e-01 6.899170e-01
2.071001e+15 7.888923e-01 6.900360e-01
2.071001e+15 7.926512e-01 6.901540e-01
2.071001e+15 7.963808e-01 6.902720e-01
2.071001e+15 8.000811e-01 6.903880e-01
2.071001e+15 8.037499e-01 6.905020e-01
2.071001e+15 8.073890e-01 6.906150e-01
2.071001e+15 8.109982e-01 6.907270e-01
2.071001e+15 8.145763e-01 6.908380e-01
2.071001e+15 8.181230e-01 6.909480e-01
2.071001e+15 8.216389e-01 6.910560e-01
2.071001e+15 8.251249e-01 6.911630e-01
2.071001e+15 8.285793e-01 6.912690e-01
2.071001e+15 8.320018e-01 6.913740e-01
2.071001e+15 8.353941e-01 6.914770e-01
2.071001e+15 8.387542e-01 6.915800e-01
2.071001e+15 8.420822e-01 6.916800e-01
2.071001e+15 8.453790e-01 6.917800e-01
2.071001e+15 8.486439e-01 6.918800e-01
2.071001e+15 8.518768e-01 6.919770e-01
2.071001e+15 8.550770e-01 6.920740e-01
2.071001e+15 8.582460e-01 6.921680e-01
2.071001e+15 8.613821e-01 6.922620e-01
2.071001e+15 8.644852e-01 6.923560e-01
2.071001e+15 8.675562e-01 6.924480e-01
2.071001e+15 8.705950e-01 6.925380e-01
2.071001e+15 8.735999e-01 6.926280e-01
2.071001e+15 8.765719e-01 6.927160e-01
2.071001e+15 8.795118e-01 6.928030e-01
2.071001e+15 8.824180e-01 6.928890e-01
2.071001e+15 8.852910e-01 6.929740e-01
2.071001e+15 8.881301e-01 6.930580e-01
2.071001e+15 8.909361e-01 6.931400e-01
2.071001e+15 8.937090e-01 6.932220e-01
2.071001e+15 8.964468e-01 6.933020e-01
2.071001e+15 8.991522e-01 6.933810e-01
2.071001e+15 9.018231e-01 6.934590e-01
2.071001e+15 9.044601e-01 6.935360e-01
2.071001e+15 9.070630e-01 6.936120e-01
2.071001e+15 9.096320e-01 6.936860e-01
2.071001e+15 9.121659e-01 6.937600e-01
2.071001e+15 9.146662e-01 6.938320e-01
2.071001e+15 9.171312e-01 6.939040e-01
2.071001e+15 9.195620e-01 6.939740e-01
2.071001e+15 9.219581e-01 6.940440e-01
2.071001e+15 9.243190e-01 6.941120e-01
2.071001e+15 9.266459e-01 6.941780e-01
2.071001e+15 9.289370e-01 6.942440e-01
2.071001e+15 9.311938e-01 6.943090e-01
2.071001e+15 9.334152e-01 6.943720e-01
2.071001e+15 9.356009e-01 6.944360e-01
2.071001e+15 9.377521e-01 6.944970e-01
2.071001e+15 9.398669e-01 6.945570e-01
2.071001e+15 9.419469e-01 6.946160e-01
2.071001e+15 9.439920e-01 6.946740e-01
2.071001e+15 9.459999e-01 6.947320e-01
2.071001e+15 9.479731e-01 6.947880e-01
2.071001e+15 9.499111e-01 6.948430e-01
2.071001e+15 9.518121e-01 6.948960e-01
2.071001e+15 9.536780e-01 6.949500e-01
2.071001e+15 9.555080e-01 6.950020e-01
2.071001e+15 9.573011e-01 6.950520e-01
2.071001e+15 9.590589e-01 6.951020e-01
2.071001e+15 9.607800e-01 6.951500e-01
2.071001e+15 9.624651e-01 6.951980e-01
2.071001e+15 9.641139e-01 6.952440e-01
2.071001e+15 9.657261e-01 6.952890e-01
2.071001e+15 9.673021e-01 6.953340e-01
2.071001e+15 9.688421e-01 6.953760e-01
2.071001e+15 9.703451e-01 6.954180e-01
2.071001e+15 9.718110e-01 6.954600e-01
2.071001e+15 9.732409e-01 6.955000e-01
2.071001e+15 9.746339e-01 6.955380e-01
2.071001e+15 9.759899e-01 6.955760e-01
2.071001e+15 9.773091e-01 6.956140e-01
2.071001e+15 9.785920e-01 6.956490e-01
2.071001e+15 9.798371e-01 6.956840e-01
2.071001e+15 9.810459e-01 6.957180e-01
2.071001e+15 9.822180e-01 6.957500e-01
2.071001e+15 9.833520e-01 6.957820e-01
2.071001e+15 9.844500e-01 6.958120e-01
2.071001e+15 9.855101e-01 6.958420e-01
2.071001e+15 9.865329e-01 6.958700e-01
2.071001e+15 9.875191e-01 6.958980e-01
2.071001e+15 9.884680e-01 6.959240e-01
2.071001e+15 9.893790e-01 6.959490e-01
2.071001e+15 9.902529e-01 6.959730e-01
2.071001e+15 9.910900e-01 6.959960e-01
2.071001e+15 9.918890e-01 6.960180e-01
2.071001e+15 9.926510e-01 6.960400e-01
2.071001e+15 9.933761e-01 6.960600e-01
2.071001e+15 9.940630e-01 6.960780e-01
2.071001e+15 9.947120e-01 6.960960e-01
2.071001e+15 9.953240e-01 6.961140e-01
2.071001e+15 9.958990e-01 6.961290e-01
2.071001e+15 9.964360e-01 6.961440e-01
2.071001e+15 9.969350e-01 6.961580e-01
2.071001e+15 9.973970e-01 6.961700e-01
2.071001e+15 9.978210e-01 6.961820e-01
2.071001e+15 9.982070e-01 6.961920e-01
2.071001e+15 9.985560e-01 6.962020e-01
2.071001e+15 9.988670e-01 6.962110e-01
2.071001e+15 9.991400e-01 6.962180e-01
2.071001e+15 9.993760e-01 6.962250e-01
2.071001e+15 9.995740e-01 6.962300e-01
2.071001e+15 9.997340e-01 6.962340e-01
2.071001e+15 9.998570e-01 6.962380e-01
2.071001e+15 9.999420e-01 6.962400e-01
2.071001e+15 9.999890e-01 6.962420e-01


2.238601e+15 1.000000e-06 6.064400e-01
