#nu mu I
5.209002e+14 1.000000e-06 1.133661e-02
5.209002e+14 6.146288e-03 1.119008e-02
5.209002e+14 1.228602e-02 1.130751e-02
5.209002e+14 1.842528e-02 1.135427e-02
5.209002e+14 2.456386e-02 1.138278e-02
5.209002e+14 3.070150e-02 1.140377e-02
5.209002e+14 3.684798e-02 1.142083e-02
5.209002e+14 4.298308e-02 1.143551e-02
5.209002e+14 4.911656e-02 1.144861e-02
5.209002e+14 5.524818e-02 1.146055e-02
5.209002e+14 6.137772e-02 1.147162e-02
5.209002e+14 6.751493e-02 1.148201e-02
5.209002e+14 7.363961e-02 1.149183e-02
5.209002e+14 7.976151e-02 1.150119e-02
5.209002e+14 8.588041e-02 1.151015e-02
5.209002e+14 9.199607e-02 1.151878e-02
5.209002e+14 9.810826e-02 1.152709e-02
5.209002e+14 1.042267e-01 1.153514e-02
5.209002e+14 1.103312e-01 1.154294e-02
5.209002e+14 1.164316e-01 1.155053e-02
5.209002e+14 1.225277e-01 1.155792e-02
5.209002e+14 1.286190e-01 1.156512e-02
5.209002e+14 1.347155e-01 1.157216e-02
5.209002e+14 1.407969e-01 1.157903e-02
5.209002e+14 1.468731e-01 1.158576e-02
5.209002e+14 1.529437e-01 1.159234e-02
5.209002e+14 1.590085e-01 1.159881e-02
5.209002e+14 1.650772e-01 1.160514e-02
5.209002e+14 1.711299e-01 1.161135e-02
5.209002e+14 1.771760e-01 1.161745e-02
5.209002e+14 1.832155e-01 1.162345e-02
5.209002e+14 1.892481e-01 1.162935e-02
5.209002e+14 1.952735e-01 1.163514e-02
5.209002e+14 2.013014e-01 1.164086e-02
5.209002e+14 2.073119e-01 1.164647e-02
5.209002e+14 2.133145e-01 1.165201e-02
5.209002e+14 2.193092e-01 1.165746e-02
5.209002e+14 2.252955e-01 1.166284e-02
5.209002e+14 2.312831e-01 1.166814e-02
5.209002e+14 2.372522e-01 1.167336e-02
5.209002e+14 2.432124e-01 1.167852e-02
5.209002e+14 2.491634e-01 1.168360e-02
5.209002e+14 2.551050e-01 1.168863e-02
5.209002e+14 2.610467e-01 1.169358e-02
5.209002e+14 2.669688e-01 1.169848e-02
5.209002e+14 2.728809e-01 1.170331e-02
5.209002e+14 2.787827e-01 1.170809e-02
5.209002e+14 2.846740e-01 1.171280e-02
5.209002e+14 2.905641e-01 1.171746e-02
5.209002e+14 2.964337e-01 1.172207e-02
5.209002e+14 3.022921e-01 1.172662e-02
5.209002e+14 3.081391e-01 1.173113e-02
5.209002e+14 3.139745e-01 1.173558e-02
5.209002e+14 3.198075e-01 1.173998e-02
5.209002e+14 3.256190e-01 1.174435e-02
5.209002e+14 3.314182e-01 1.174866e-02
5.209002e+14 3.372049e-01 1.175291e-02
5.209002e+14 3.429789e-01 1.175714e-02
5.209002e+14 3.487493e-01 1.176132e-02
5.209002e+14 3.544972e-01 1.176544e-02
5.209002e+14 3.602318e-01 1.176954e-02
5.209002e+14 3.659527e-01 1.177358e-02
5.209002e+14 3.716599e-01 1.177759e-02
5.209002e+14 3.773530e-01 1.178156e-02
5.209002e+14 3.830412e-01 1.178548e-02
5.209002e+14 3.887056e-01 1.178937e-02
5.209002e+14 3.943554e-01 1.179323e-02
5.209002e+14 3.999904e-01 1.179704e-02
5.209002e+14 4.056102e-01 1.180083e-02
5.209002e+14 4.112239e-01 1.180456e-02
5.209002e+14 4.168129e-01 1.180827e-02
5.209002e+14 4.223862e-01 1.181194e-02
5.209002e+14 4.279436e-01 1.181558e-02
5.209002e+14 4.334849e-01 1.181918e-02
5.209002e+14 4.390188e-01 1.182275e-02
5.209002e+14 4.445272e-01 1.182629e-02
5.209002e+14 4.500187e-01 1.182979e-02
5.209002e+14 4.554934e-01 1.183326e-02
5.209002e+14 4.609508e-01 1.183670e-02
5.209002e+14 4.663909e-01 1.184011e-02
5.209002e+14 4.718222e-01 1.184349e-02
5.209002e+14 4.772269e-01 1.184684e-02
5.209002e+14 4.826135e-01 1.185015e-02
5.209002e+14 4.879820e-01 1.185344e-02
5.209002e+14 4.933321e-01 1.185669e-02
5.209002e+14 4.986723e-01 1.185992e-02
5.209002e+14 5.039849e-01 1.186312e-02
