1.1689e+15  1.00e-06  1.0999e-01
1.1689e+15  6.14e-03  1.0708e-01
1.1689e+15  1.23e-02  1.0724e-01
1.1689e+15  1.84e-02  1.0739e-01
1.1689e+15  2.46e-02  1.0753e-01
1.1689e+15  3.07e-02  1.0766e-01
1.1689e+15  3.68e-02  1.0778e-01
1.1689e+15  4.30e-02  1.0790e-01
1.1689e+15  4.91e-02  1.0801e-01
1.1689e+15  5.52e-02  1.0812e-01
1.1689e+15  6.14e-02  1.0823e-01
1.1689e+15  6.75e-02  1.0833e-01
1.1689e+15  7.36e-02  1.0843e-01
1.1689e+15  7.98e-02  1.0853e-01
1.1689e+15  8.59e-02  1.0863e-01
1.1689e+15  9.20e-02  1.0872e-01
1.1689e+15  9.81e-02  1.0881e-01
1.1689e+15  1.04e-01  1.0890e-01
1.1689e+15  1.10e-01  1.0899e-01
1.1689e+15  1.16e-01  1.0908e-01
1.1689e+15  1.23e-01  1.0916e-01
1.1689e+15  1.29e-01  1.0925e-01
1.1689e+15  1.35e-01  1.0933e-01
1.1689e+15  1.41e-01  1.0941e-01
1.1689e+15  1.47e-01  1.0949e-01
1.1689e+15  1.53e-01  1.0957e-01
1.1689e+15  1.59e-01  1.0964e-01
1.1689e+15  1.65e-01  1.0972e-01
1.1689e+15  1.71e-01  1.0979e-01
1.1689e+15  1.77e-01  1.0986e-01
1.1689e+15  1.83e-01  1.0994e-01
1.1689e+15  1.89e-01  1.1001e-01
1.1689e+15  1.95e-01  1.1008e-01
1.1689e+15  2.01e-01  1.1015e-01
1.1689e+15  2.07e-01  1.1021e-01
1.1689e+15  2.13e-01  1.1028e-01
1.1689e+15  2.19e-01  1.1035e-01
1.1689e+15  2.25e-01  1.1041e-01
1.1689e+15  2.31e-01  1.1048e-01
1.1689e+15  2.37e-01  1.1054e-01
1.1689e+15  2.43e-01  1.1061e-01
1.1689e+15  2.49e-01  1.1067e-01
1.1689e+15  2.55e-01  1.1073e-01
1.1689e+15  2.61e-01  1.1079e-01
