#nu mu I
5.209002e+14 1.000000e-06 9.632174e-03
5.209002e+14 6.146288e-03 9.746760e-03
5.209002e+14 1.228602e-02 9.786230e-03
5.209002e+14 1.842528e-02 9.806660e-03
5.209002e+14 2.456386e-02 9.821750e-03
5.209002e+14 3.070150e-02 9.834490e-03
5.209002e+14 3.684798e-02 9.845930e-03
5.209002e+14 4.298308e-02 9.856520e-03
5.209002e+14 4.911656e-02 9.866510e-03
5.209002e+14 5.524818e-02 9.876030e-03
5.209002e+14 6.137772e-02 9.885150e-03
5.209002e+14 6.751493e-02 9.893950e-03
5.209002e+14 7.363961e-02 9.902480e-03
5.209002e+14 7.976151e-02 9.910740e-03
5.209002e+14 8.588041e-02 9.918780e-03
5.209002e+14 9.199607e-02 9.926620e-03
5.209002e+14 9.810826e-02 9.934270e-03
5.209002e+14 1.042267e-01 9.941740e-03
5.209002e+14 1.103312e-01 9.949050e-03
5.209002e+14 1.164316e-01 9.956220e-03
5.209002e+14 1.225277e-01 9.963240e-03
5.209002e+14 1.286190e-01 9.970130e-03
5.209002e+14 1.347155e-01 9.976900e-03
5.209002e+14 1.407969e-01 9.983540e-03
5.209002e+14 1.468731e-01 9.990070e-03
5.209002e+14 1.529437e-01 9.996500e-03
5.209002e+14 1.590085e-01 1.000282e-02
5.209002e+14 1.650772e-01 1.000904e-02
5.209002e+14 1.711299e-01 1.001517e-02
5.209002e+14 1.771760e-01 1.002121e-02
5.209002e+14 1.832155e-01 1.002716e-02
5.209002e+14 1.892481e-01 1.003302e-02
5.209002e+14 1.952735e-01 1.003881e-02
5.209002e+14 2.013014e-01 1.004452e-02
5.209002e+14 2.073119e-01 1.005015e-02
5.209002e+14 2.133145e-01 1.005571e-02
5.209002e+14 2.193092e-01 1.006119e-02
5.209002e+14 2.252955e-01 1.006661e-02
5.209002e+14 2.312831e-01 1.007195e-02
5.209002e+14 2.372522e-01 1.007724e-02
5.209002e+14 2.432124e-01 1.008246e-02
5.209002e+14 2.491634e-01 1.008763e-02
5.209002e+14 2.551050e-01 1.009272e-02
5.209002e+14 2.610467e-01 1.009776e-02
5.209002e+14 2.669688e-01 1.010274e-02
5.209002e+14 2.728809e-01 1.010766e-02
5.209002e+14 2.787827e-01 1.011254e-02
5.209002e+14 2.846740e-01 1.011735e-02
5.209002e+14 2.905641e-01 1.012212e-02
5.209002e+14 2.964337e-01 1.012683e-02
5.209002e+14 3.022921e-01 1.013150e-02
5.209002e+14 3.081391e-01 1.013611e-02
5.209002e+14 3.139745e-01 1.014067e-02
5.209002e+14 3.198075e-01 1.014519e-02
5.209002e+14 3.256190e-01 1.014967e-02
5.209002e+14 3.314182e-01 1.015409e-02
5.209002e+14 3.372049e-01 1.015848e-02
5.209002e+14 3.429789e-01 1.016282e-02
5.209002e+14 3.487493e-01 1.016711e-02
5.209002e+14 3.544972e-01 1.017136e-02
5.209002e+14 3.602318e-01 1.017557e-02
5.209002e+14 3.659527e-01 1.017974e-02
5.209002e+14 3.716599e-01 1.018387e-02
5.209002e+14 3.773530e-01 1.018796e-02
5.209002e+14 3.830412e-01 1.019201e-02
5.209002e+14 3.887056e-01 1.019602e-02
5.209002e+14 3.943554e-01 1.019999e-02
5.209002e+14 3.999904e-01 1.020393e-02
5.209002e+14 4.056102e-01 1.020782e-02
5.209002e+14 4.112239e-01 1.021169e-02
5.209002e+14 4.168129e-01 1.021552e-02
5.209002e+14 4.223862e-01 1.021931e-02
5.209002e+14 4.279436e-01 1.022306e-02
5.209002e+14 4.334849e-01 1.022679e-02
5.209002e+14 4.390188e-01 1.023048e-02
5.209002e+14 4.445272e-01 1.023413e-02
5.209002e+14 4.500187e-01 1.023774e-02
5.209002e+14 4.554934e-01 1.024133e-02
5.209002e+14 4.609508e-01 1.024489e-02
5.209002e+14 4.663909e-01 1.024842e-02
5.209002e+14 4.718222e-01 1.025191e-02
5.209002e+14 4.772269e-01 1.025537e-02
5.209002e+14 4.826135e-01 1.025880e-02
5.209002e+14 4.879820e-01 1.026220e-02
5.209002e+14 4.933321e-01 1.026556e-02
5.209002e+14 4.986723e-01 1.026891e-02
5.209002e+14 5.039849e-01 1.027221e-02
5.209002e+14 5.092786e-01 1.027550e-02
5.209002e+14 5.145531e-01 1.027875e-02
5.209002e+14 5.198081e-01 1.028197e-02
5.209002e+14 5.250521e-01 1.028516e-02
5.209002e+14 5.302677e-01 1.028833e-02
5.209002e+14 5.354634e-01 1.029147e-02
5.209002e+14 5.406414e-01 1.029458e-02
5.209002e+14 5.457973e-01 1.029766e-02
5.209002e+14 5.509326e-01 1.030071e-02
5.209002e+14 5.560488e-01 1.030375e-02
5.209002e+14 5.611432e-01 1.030674e-02
5.209002e+14 5.662156e-01 1.030972e-02
5.209002e+14 5.712683e-01 1.031267e-02
5.209002e+14 5.762978e-01 1.031559e-02
5.209002e+14 5.813072e-01 1.031849e-02
5.209002e+14 5.862931e-01 1.032136e-02
5.209002e+14 5.912576e-01 1.032421e-02
5.209002e+14 5.961998e-01 1.032703e-02
5.209002e+14 6.011204e-01 1.032983e-02
5.209002e+14 6.060167e-01 1.033260e-02
5.209002e+14 6.108909e-01 1.033534e-02
5.209002e+14 6.157420e-01 1.033807e-02
5.209002e+14 6.205699e-01 1.034077e-02
5.209002e+14 6.253737e-01 1.034344e-02
5.209002e+14 6.301554e-01 1.034608e-02
5.209002e+14 6.349118e-01 1.034872e-02
5.209002e+14 6.396450e-01 1.035132e-02
5.209002e+14 6.443541e-01 1.035389e-02
5.209002e+14 6.490388e-01 1.035645e-02
5.209002e+14 6.536991e-01 1.035898e-02
5.209002e+14 6.583348e-01 1.036150e-02
5.209002e+14 6.629463e-01 1.036398e-02
5.209002e+14 6.675313e-01 1.036645e-02
5.209002e+14 6.720919e-01 1.036889e-02
5.209002e+14 6.766272e-01 1.037131e-02
5.209002e+14 6.811369e-01 1.037370e-02
5.209002e+14 6.856209e-01 1.037608e-02
5.209002e+14 6.900791e-01 1.037844e-02
