#nu mu I
2.071001e+15 7.290099e-01 6.632340e-01
2.071001e+15 7.332010e-01 6.633820e-01
2.071001e+15 7.373631e-01 6.635280e-01
2.071001e+15 7.414981e-01 6.636720e-01
2.071001e+15 7.456050e-01 6.638140e-01
2.071001e+15 7.496839e-01 6.639560e-01
2.071001e+15 7.537352e-01 6.640960e-01
2.071001e+15 7.577573e-01 6.642360e-01
2.071001e+15 7.617502e-01 6.643720e-01
2.071001e+15 7.657150e-01 6.645080e-01
2.071001e+15 7.696510e-01 6.646440e-01
2.071001e+15 7.735579e-01 6.647760e-01
2.071001e+15 7.774350e-01 6.649080e-01
2.071001e+15 7.812840e-01 6.650380e-01
2.071001e+15 7.851029e-01 6.651680e-01
2.071001e+15 7.888923e-01 6.652960e-01
2.071001e+15 7.926512e-01 6.654220e-01
2.071001e+15 7.963808e-01 6.655480e-01
2.071001e+15 8.000811e-01 6.656710e-01
2.071001e+15 8.037499e-01 6.657940e-01
2.071001e+15 8.073890e-01 6.659140e-01
2.071001e+15 8.109982e-01 6.660340e-01
2.071001e+15 8.145763e-01 6.661520e-01
2.071001e+15 8.181230e-01 6.662700e-01
2.071001e+15 8.216389e-01 6.663860e-01
2.071001e+15 8.251249e-01 6.665000e-01
2.071001e+15 8.285793e-01 6.666140e-01
2.071001e+15 8.320018e-01 6.667260e-01
2.071001e+15 8.353941e-01 6.668360e-01
2.071001e+15 8.387542e-01 6.669460e-01
2.071001e+15 8.420822e-01 6.670540e-01
2.071001e+15 8.453790e-01 6.671620e-01
2.071001e+15 8.486439e-01 6.672660e-01
2.071001e+15 8.518768e-01 6.673720e-01
2.071001e+15 8.550770e-01 6.674740e-01
2.071001e+15 8.582460e-01 6.675760e-01
2.071001e+15 8.613821e-01 6.676760e-01
2.071001e+15 8.644852e-01 6.677760e-01
2.071001e+15 8.675562e-01 6.678740e-01
2.071001e+15 8.705950e-01 6.679720e-01
2.071001e+15 8.735999e-01 6.680660e-01
2.071001e+15 8.765719e-01 6.681620e-01
2.071001e+15 8.795118e-01 6.682540e-01
2.071001e+15 8.824180e-01 6.683460e-01
2.071001e+15 8.852910e-01 6.684360e-01
2.071001e+15 8.881301e-01 6.685260e-01
2.071001e+15 8.909361e-01 6.686140e-01
2.071001e+15 8.937090e-01 6.687020e-01
2.071001e+15 8.964468e-01 6.687880e-01
2.071001e+15 8.991522e-01 6.688720e-01
2.071001e+15 9.018231e-01 6.689560e-01
2.071001e+15 9.044601e-01 6.690380e-01
2.071001e+15 9.070630e-01 6.691190e-01
2.071001e+15 9.096320e-01 6.691980e-01
2.071001e+15 9.121659e-01 6.692780e-01
2.071001e+15 9.146662e-01 6.693550e-01
2.071001e+15 9.171312e-01 6.694320e-01
2.071001e+15 9.195620e-01 6.695060e-01
2.071001e+15 9.219581e-01 6.695800e-01
2.071001e+15 9.243190e-01 6.696530e-01
