0.000000000  3.650 89673
0.062500000  3.650 87055
0.125000000  3.650 84292
0.187500000  3.650 80725
0.250000000  3.650 78274
0.312500000  3.650 76572
0.375000000  3.650 75374
0.437500000  3.650 75287
0.500000000  3.650 75215
0.562500000  3.650 75141
0.625000000  3.650 75715
0.687500000  3.650 76920
0.750000000  3.650 80400
0.812500000  3.650 84635
0.875000000  3.650 89112
0.937500000  3.650 90871
0.000000000  3.950 81561
0.062500000  3.950 79090
0.125000000  3.950 75961
0.187500000  3.950 72711
0.250000000  3.950 70453
0.312500000  3.950 68865
0.375000000  3.950 67757
0.437500000  3.950 67096
0.500000000  3.950 66894
0.562500000  3.950 67536
0.625000000  3.950 67858
0.687500000  3.950 68561
0.750000000  3.950 72242
0.812500000  3.950 76747
0.875000000  3.950 79794
0.937500000  3.950 81986
0.000000000  4.250 72870
0.062500000  4.250 70527
0.125000000  4.250 67540
0.187500000  4.250 65357
0.250000000  4.250 62866
0.312500000  4.250 61220
0.375000000  4.250 60504
0.437500000  4.250 59992
0.500000000  4.250 60123
0.562500000  4.250 60092
0.625000000  4.250 60183
0.687500000  4.250 61399
0.750000000  4.250 64354
0.812500000  4.250 68484
0.875000000  4.250 71664
0.937500000  4.250 73769
0.000000000  4.550 64945
0.062500000  4.550 62427
0.125000000  4.550 60584
0.187500000  4.550 57365
0.250000000  4.550 55292
0.312500000  4.550 54191
0.375000000  4.550 53159
0.437500000  4.550 52382
0.500000000  4.550 52715
0.562500000  4.550 52747
0.625000000  4.550 53155
0.687500000  4.550 54279
0.750000000  4.550 56984
0.812500000  4.550 60419
0.875000000  4.550 64491
0.937500000  4.550 65386
0.000000000  4.850 57065
0.062500000  4.850 55294
0.125000000  4.850 52482
0.187500000  4.850 50302
0.250000000  4.850 48464
0.312500000  4.850 46853
0.375000000  4.850 46653
0.437500000  4.850 46362
0.500000000  4.850 46108
0.562500000  4.850 46377
0.625000000  4.850 46170
0.687500000  4.850 47309
0.750000000  4.850 50029
0.812500000  4.850 53296
0.875000000  4.850 56860
0.937500000  4.850 58063
0.000000000  5.150 50295
0.062500000  5.150 48699
0.125000000  5.150 46286
0.187500000  5.150 44267
0.250000000  5.150 41962
0.312500000  5.150 41052
0.375000000  5.150 40632
0.437500000  5.150 39923
0.500000000  5.150 40551
0.562500000  5.150 39995
0.625000000  5.150 40016
0.687500000  5.150 41257
0.750000000  5.150 44090
0.812500000  5.150 47239
0.875000000  5.150 50077
0.937500000  5.150 51066
0.000000000  5.450 43951
0.062500000  5.450 42344
0.125000000  5.450 40448
0.187500000  5.450 38324
0.250000000  5.450 36685
0.312500000  5.450 35429
0.375000000  5.450 35121
0.437500000  5.450 34375
0.500000000  5.450 34561
0.562500000  5.450 34613
0.625000000  5.450 34639
0.687500000  5.450 35239
0.750000000  5.450 38048
0.812500000  5.450 41423
0.875000000  5.450 43369
0.937500000  5.450 44678
0.000000000  5.750 38145
0.062500000  5.750 36878
0.125000000  5.750 34796
0.187500000  5.750 33164
0.250000000  5.750 31596
0.312500000  5.750 30333
0.375000000  5.750 29918
0.437500000  5.750 29843
0.500000000  5.750 29900
0.562500000  5.750 29874
0.625000000  5.750 29899
0.687500000  5.750 30743
0.750000000  5.750 33164
0.812500000  5.750 35842
0.875000000  5.750 38197
0.937500000  5.750 39006
0.000000000  6.050 33201
0.062500000  6.050 31882
0.125000000  6.050 30217
0.187500000  6.050 28333
0.250000000  6.050 27246
0.312500000  6.050 26254
0.375000000  6.050 25571
0.437500000  6.050 25639
0.500000000  6.050 25726
0.562500000  6.050 25455
0.625000000  6.050 25804
0.687500000  6.050 26432
0.750000000  6.050 28775
0.812500000  6.050 30854
0.875000000  6.050 33210
0.937500000  6.050 33664
0.000000000  6.350 28773
0.062500000  6.350 27368
0.125000000  6.350 25690
0.187500000  6.350 24116
0.250000000  6.350 23176
0.312500000  6.350 22182
0.375000000  6.350 21944
0.437500000  6.350 21790
0.500000000  6.350 21705
0.562500000  6.350 21647
0.625000000  6.350 21902
0.687500000  6.350 22530
0.750000000  6.350 24225
0.812500000  6.350 27037
0.875000000  6.350 28702
0.937500000  6.350 29145
0.000000000  6.650 24487
0.062500000  6.650 23727
0.125000000  6.650 21928
0.187500000  6.650 20523
0.250000000  6.650 19836
0.312500000  6.650 18989
0.375000000  6.650 18559
0.437500000  6.650 18346
0.500000000  6.650 18358
0.562500000  6.650 18486
0.625000000  6.650 18516
0.687500000  6.650 19014
0.750000000  6.650 20760
0.812500000  6.650 22843
0.875000000  6.650 24929
0.937500000  6.650 25433
0.000000000  6.950 21322
0.062500000  6.950 20075
0.125000000  6.950 18795
0.187500000  6.950 17628
0.250000000  6.950 16583
0.312500000  6.950 15979
0.375000000  6.950 15541
0.437500000  6.950 15591
0.500000000  6.950 15607
0.562500000  6.950 15691
0.625000000  6.950 15832
0.687500000  6.950 16196
0.750000000  6.950 17756
0.812500000  6.950 19568
0.875000000  6.950 21271
0.937500000  6.950 21806
0.000000000  7.250 18084
0.062500000  7.250 17154
0.125000000  7.250 15785
0.187500000  7.250 14855
0.250000000  7.250 14224
0.312500000  7.250 13569
0.375000000  7.250 13337
0.437500000  7.250 13146
0.500000000  7.250 13147
0.562500000  7.250 13078
0.625000000  7.250 13010
0.687500000  7.250 13510
0.750000000  7.250 15057
0.812500000  7.250 17138
0.875000000  7.250 18177
0.937500000  7.250 19113
0.000000000  7.550 15677
0.062500000  7.550 14690
0.125000000  7.550 13583
0.187500000  7.550 12508
0.250000000  7.550 12018
0.312500000  7.550 11475
0.375000000  7.550 11078
0.437500000  7.550 11010
0.500000000  7.550 10846
0.562500000  7.550 10843
0.625000000  7.550 10959
0.687500000  7.550 11509
0.750000000  7.550 12684
0.812500000  7.550 14560
0.875000000  7.550 15757
0.937500000  7.550 16000
0.000000000  7.850 13277
0.062500000  7.850 12501
0.125000000  7.850 11314
0.187500000  7.850 10561
0.250000000  7.850 9831
0.312500000  7.850 9316
0.375000000  7.850 9412
0.437500000  7.850 9323
0.500000000  7.850 9201
0.562500000  7.850 9340
0.625000000  7.850 9292
0.687500000  7.850 9656
0.750000000  7.850 10887
0.812500000  7.850 12526
0.875000000  7.850 13359
0.937500000  7.850 13774
0.000000000  8.150 11174
0.062500000  8.150 10431
0.125000000  8.150 9537
0.187500000  8.150 8939
0.250000000  8.150 8320
